,Time block,Operation,Terminal,Delay
280,16,Departure,1,4.0
281,16,Departure,1,3.0
282,16,Departure,1,1.0
283,16,Departure,2,3.0
284,16,Departure,1,-8.0
285,16,Departure,2,0.0
286,16,Departure,2,0.0
287,16,Departure,2,-12.0
288,16,Departure,2,32.0
289,16,Departure,1,6.0
290,16,Departure,1,2.0
291,16,Departure,1,-2.0
292,16,Departure,1,0.0
293,16,Departure,1,-6.0
294,16,Departure,2,-7.0
295,16,Departure,2,-6.0
296,16,Departure,1,5.0
297,16,Departure,2,-6.0
298,16,Departure,2,7.0
299,16,Departure,2,16.0
300,16,Departure,1,7.0
301,17,Departure,1,-3.0
302,17,Departure,1,-7.0
303,17,Departure,1,2.0
304,17,Departure,1,46.0
305,17,Departure,1,0.0
306,17,Departure,2,5.0
307,17,Departure,1,-9.0
308,17,Departure,1,-7.0
309,17,Departure,1,16.0
310,17,Departure,1,-4.0
311,17,Departure,1,12.0
312,17,Departure,2,6.0
313,17,Departure,1,-2.0
314,17,Departure,1,-2.0
315,17,Departure,2,16.0
316,17,Departure,1,9.0
317,17,Departure,1,33.0
318,17,Departure,1,12.0
319,17,Departure,2,104.0
320,17,Departure,1,29.0
321,17,Departure,1,43.0
322,17,Departure,1,25.0
323,18,Departure,1,1.0
324,18,Departure,2,-4.0
325,18,Departure,1,-5.0
326,18,Departure,2,-4.0
327,18,Departure,2,23.0
328,18,Departure,1,10.0
329,18,Departure,1,-4.0
330,18,Departure,2,-11.0
331,18,Departure,1,15.0
332,18,Departure,2,16.0
333,18,Departure,1,0.0
334,18,Departure,1,-3.0
335,18,Departure,2,13.0
336,18,Departure,1,-1.0
337,18,Departure,1,11.0
338,18,Departure,2,25.0
339,18,Departure,1,13.0
340,18,Departure,1,3.0
341,18,Departure,1,2.0
342,18,Departure,2,0.0
343,18,Departure,1,0.0
344,18,Departure,2,-11.0
345,18,Departure,1,92.0
346,18,Departure,1,12.0
347,18,Departure,1,22.0
348,18,Departure,1,4.0
349,18,Departure,1,-3.0
350,18,Departure,2,3.0
351,18,Departure,1,24.0
352,18,Departure,1,24.0
353,19,Departure,2,10.0
354,19,Departure,1,14.0
355,19,Departure,1,21.0
356,19,Departure,2,0.0
357,19,Departure,2,5.0
358,19,Departure,2,0.0
359,19,Departure,2,24.0
360,19,Departure,1,18.0
361,19,Departure,1,30.0
362,19,Departure,1,-1.0
363,19,Departure,2,0.0
364,19,Departure,1,-2.0
365,19,Departure,1,20.0
366,19,Departure,1,0.0
367,19,Departure,2,-4.0
368,19,Departure,1,42.0
369,19,Departure,1,-5.0
370,19,Departure,2,11.0
371,19,Departure,1,-1.0
372,19,Departure,2,13.0
373,19,Departure,2,20.0
374,19,Departure,1,23.0
375,19,Departure,2,1.0
376,19,Departure,1,3.0
377,19,Departure,1,3.0
378,19,Departure,2,-2.0
379,19,Departure,1,36.0
380,20,Departure,1,-1.0
381,20,Departure,1,-1.0
382,20,Departure,2,156.0
383,20,Departure,2,-1.0
384,20,Departure,1,-16.0
385,20,Departure,2,-2.0
386,20,Departure,1,-1.0
387,20,Departure,1,132.0
388,20,Departure,1,-14.0
389,20,Departure,1,1.0
390,20,Departure,1,2.0
391,20,Departure,1,-8.0
392,20,Departure,1,8.0
393,20,Departure,1,0.0
394,20,Departure,2,55.0
395,20,Departure,2,-8.0
396,20,Departure,1,25.0
397,20,Departure,1,25.0
398,20,Departure,2,16.0
399,20,Departure,1,-3.0
400,20,Departure,1,29.0
401,20,Departure,2,-7.0
402,20,Departure,2,-9.0
403,20,Departure,2,-12.0
404,20,Departure,1,1.0
405,20,Departure,2,26.0
406,20,Departure,1,22.0
407,21,Departure,1,10.0
408,21,Departure,2,7.0
409,21,Departure,2,14.0
410,21,Departure,2,2.0
411,21,Departure,1,1.0
412,21,Departure,1,2.0
413,21,Departure,2,46.0
414,21,Departure,2,-1.0
415,21,Departure,1,-8.0
416,21,Departure,1,0.0
417,21,Departure,2,-7.0
418,21,Departure,2,37.0
419,21,Departure,1,-4.0
420,21,Departure,1,0.0
421,21,Departure,1,43.0
422,21,Departure,1,-4.0
423,21,Departure,1,28.0
424,21,Departure,2,14.0
425,21,Departure,2,28.0
426,21,Departure,2,22.0
427,22,Departure,1,-10.0
428,22,Departure,1,7.0
429,22,Departure,1,23.0
430,22,Departure,2,18.0
431,22,Departure,1,-10.0
432,23,Departure,1,7.0
433,23,Departure,1,-13.0
434,0,Arrival,1,9.0
435,0,Arrival,1,-4.0
436,0,Arrival,1,5.0
437,0,Arrival,1,-8.0
438,0,Arrival,1,-4.0
439,0,Arrival,1,-7.0
440,0,Arrival,1,0.0
441,0,Arrival,1,-6.0
442,0,Arrival,2,46.0
443,0,Arrival,1,-9.0
444,0,Arrival,1,-9.0
445,0,Arrival,1,1384.0
446,0,Arrival,1,-27.0
447,0,Arrival,1,81.0
448,0,Arrival,1,12.0
449,1,Arrival,1,-18.0
450,1,Arrival,1,-28.0
451,5,Arrival,1,-24.0
452,6,Arrival,1,12.0
453,6,Arrival,1,-5.0
454,6,Arrival,1,671.0
455,7,Arrival,1,-54.0
456,7,Arrival,1,-14.0
457,7,Arrival,1,61.0
458,7,Arrival,2,-17.0
459,7,Arrival,2,-12.0
460,7,Arrival,1,-11.0
461,7,Arrival,1,-8.0
462,7,Arrival,1,-11.0
463,8,Arrival,1,-21.0
464,8,Arrival,2,-20.0
465,8,Arrival,1,104.0
466,8,Arrival,1,-23.0
467,8,Arrival,1,-5.0
468,8,Arrival,2,-16.0
469,8,Arrival,1,-10.0
470,8,Arrival,1,-10.0
471,8,Arrival,2,-13.0
472,8,Arrival,1,-4.0
473,8,Arrival,2,-21.0
474,8,Arrival,1,3.0
475,8,Arrival,2,-2.0
476,8,Arrival,1,-9.0
477,8,Arrival,1,-21.0
478,8,Arrival,2,5.0
479,8,Arrival,2,5.0
480,8,Arrival,1,-6.0
481,8,Arrival,1,-15.0
482,8,Arrival,1,5.0
483,8,Arrival,1,-21.0
484,8,Arrival,2,-13.0
485,8,Arrival,1,0.0
486,8,Arrival,2,-2.0
487,8,Arrival,1,-12.0
488,8,Arrival,1,-14.0
489,8,Arrival,1,-1.0
490,9,Arrival,2,-19.0
491,9,Arrival,1,-3.0
492,9,Arrival,1,10.0
493,9,Arrival,1,-10.0
494,9,Arrival,2,19.0
495,9,Arrival,1,-6.0
496,9,Arrival,1,1.0
497,9,Arrival,2,-4.0
498,9,Arrival,2,-8.0
499,9,Arrival,2,-11.0
500,9,Arrival,1,0.0
501,9,Arrival,1,2.0
502,9,Arrival,1,-15.0
503,9,Arrival,1,-20.0
504,9,Arrival,2,15.0
505,9,Arrival,1,-8.0
506,9,Arrival,2,-10.0
507,9,Arrival,1,-3.0
508,9,Arrival,1,-11.0
509,9,Arrival,2,-8.0
510,9,Arrival,1,-2.0
511,9,Arrival,1,0.0
512,9,Arrival,1,0.0
513,9,Arrival,1,-3.0
514,9,Arrival,1,-13.0
515,9,Arrival,2,-12.0
516,9,Arrival,2,-15.0
517,9,Arrival,1,-11.0
518,9,Arrival,2,-12.0
519,9,Arrival,1,4.0
520,10,Arrival,2,-15.0
521,10,Arrival,2,-8.0
522,10,Arrival,1,40.0
523,10,Arrival,2,-7.0
524,10,Arrival,1,-17.0
525,10,Arrival,1,11.0
526,10,Arrival,2,-6.0
527,10,Arrival,2,-7.0
528,10,Arrival,1,-15.0
529,10,Arrival,1,37.0
530,10,Arrival,2,-2.0
531,10,Arrival,1,-2.0
532,10,Arrival,1,-7.0
533,10,Arrival,1,8.0
534,10,Arrival,1,-12.0
535,10,Arrival,1,-16.0
536,10,Arrival,1,0.0
537,10,Arrival,1,1.0
538,10,Arrival,1,5.0
539,10,Arrival,1,1.0
540,10,Arrival,1,18.0
541,10,Arrival,2,7.0
542,10,Arrival,1,6.0
543,10,Arrival,1,13.0
544,10,Arrival,1,1.0
545,10,Arrival,1,-2.0
546,10,Arrival,2,1.0
547,10,Arrival,2,40.0
548,10,Arrival,1,5.0
549,10,Arrival,1,-3.0
550,10,Arrival,2,-1.0
551,10,Arrival,1,7.0
552,11,Arrival,1,7.0
553,11,Arrival,2,-24.0
554,11,Arrival,1,2.0
555,11,Arrival,1,12.0
556,11,Arrival,2,37.0
557,11,Arrival,1,3.0
558,11,Arrival,1,8.0
559,11,Arrival,1,21.0
560,11,Arrival,1,5.0
561,11,Arrival,2,14.0
562,11,Arrival,1,8.0
563,11,Arrival,2,7.0
564,11,Arrival,1,31.0
565,11,Arrival,2,-8.0
566,11,Arrival,1,12.0
567,11,Arrival,1,2.0
568,11,Arrival,1,2.0
569,11,Arrival,1,56.0
570,11,Arrival,2,-26.0
571,11,Arrival,2,-1.0
572,11,Arrival,1,-7.0
573,11,Arrival,1,21.0
574,11,Arrival,1,13.0
575,11,Arrival,1,-9.0
576,11,Arrival,1,6.0
577,11,Arrival,1,14.0
578,11,Arrival,1,5.0
579,11,Arrival,1,-4.0
580,11,Arrival,1,-5.0
581,11,Arrival,1,-4.0
582,11,Arrival,2,59.0
583,11,Arrival,1,33.0
584,11,Arrival,2,-3.0
585,12,Arrival,1,-6.0
586,12,Arrival,2,17.0
587,12,Arrival,2,-2.0
588,12,Arrival,1,-8.0
589,12,Arrival,1,-4.0
590,12,Arrival,1,-6.0
591,12,Arrival,2,31.0
592,12,Arrival,1,14.0
593,12,Arrival,2,-16.0
594,12,Arrival,1,-9.0
595,12,Arrival,2,10.0
596,12,Arrival,1,-14.0
597,12,Arrival,2,-8.0
598,12,Arrival,1,-8.0
599,12,Arrival,1,-11.0
600,12,Arrival,1,1.0
601,12,Arrival,1,-5.0
602,12,Arrival,2,6.0
603,12,Arrival,2,-12.0
604,12,Arrival,1,-3.0
605,12,Arrival,1,80.0
606,12,Arrival,1,6.0
607,12,Arrival,1,-10.0
608,12,Arrival,1,-1.0
609,12,Arrival,2,-1.0
610,12,Arrival,1,2.0
611,13,Arrival,2,67.0
612,13,Arrival,1,2.0
613,13,Arrival,1,46.0
614,13,Arrival,2,-18.0
615,13,Arrival,2,-8.0
616,13,Arrival,1,3.0
617,13,Arrival,1,-2.0
618,13,Arrival,1,-54.0
619,13,Arrival,1,-6.0
620,13,Arrival,1,-10.0
621,13,Arrival,1,2.0
622,13,Arrival,2,-11.0
623,13,Arrival,1,-5.0
624,13,Arrival,2,-10.0
625,13,Arrival,1,-4.0
626,13,Arrival,2,14.0
627,13,Arrival,2,-5.0
628,13,Arrival,1,-3.0
629,13,Arrival,2,-10.0
630,13,Arrival,1,-10.0
631,13,Arrival,1,-11.0
632,13,Arrival,2,31.0
633,14,Arrival,1,203.0
634,14,Arrival,1,-15.0
635,14,Arrival,1,29.0
636,14,Arrival,1,5.0
637,14,Arrival,2,-13.0
638,14,Arrival,1,-4.0
639,14,Arrival,2,7.0
640,14,Arrival,2,-10.0
641,14,Arrival,1,-19.0
642,14,Arrival,1,7.0
643,14,Arrival,1,-1.0
644,14,Arrival,1,-10.0
645,14,Arrival,2,-6.0
646,14,Arrival,1,63.0
647,14,Arrival,1,4.0
648,14,Arrival,2,6.0
649,14,Arrival,1,14.0
650,14,Arrival,1,21.0
651,14,Arrival,2,43.0
652,14,Arrival,1,-9.0
653,14,Arrival,1,-4.0
654,14,Arrival,1,9.0
655,14,Arrival,1,-13.0
656,14,Arrival,1,3.0
657,15,Arrival,2,-4.0
658,15,Arrival,1,38.0
659,15,Arrival,2,5.0
660,15,Arrival,1,7.0
661,15,Arrival,2,5.0
662,15,Arrival,1,20.0
663,15,Arrival,1,-7.0
664,15,Arrival,2,8.0
665,15,Arrival,1,-9.0
666,15,Arrival,1,-7.0
667,15,Arrival,1,1.0
668,15,Arrival,1,-13.0
669,15,Arrival,1,-9.0
670,15,Arrival,1,14.0
671,15,Arrival,2,-9.0
672,15,Arrival,1,-11.0
673,15,Arrival,2,-23.0
674,15,Arrival,2,-9.0
675,16,Arrival,1,15.0
676,16,Arrival,2,3.0
677,16,Arrival,1,14.0
678,16,Arrival,2,-15.0
679,16,Arrival,1,-11.0
680,16,Arrival,2,-22.0
681,16,Arrival,1,-20.0
682,16,Arrival,2,-25.0
683,16,Arrival,1,45.0
684,16,Arrival,2,-2.0
685,16,Arrival,2,35.0
686,16,Arrival,1,10.0
687,16,Arrival,1,18.0
688,16,Arrival,1,22.0
689,16,Arrival,1,-1.0
690,16,Arrival,1,-3.0
691,16,Arrival,2,14.0
692,16,Arrival,1,-14.0
693,16,Arrival,2,21.0
694,16,Arrival,1,216.0
695,16,Arrival,1,-20.0
696,16,Arrival,1,-12.0
697,16,Arrival,1,23.0
698,16,Arrival,2,-2.0
699,16,Arrival,2,6.0
700,16,Arrival,1,5.0
701,16,Arrival,1,3.0
702,17,Arrival,2,-21.0
703,17,Arrival,1,30.0
704,17,Arrival,1,21.0
705,17,Arrival,1,-1.0
706,17,Arrival,1,4.0
707,17,Arrival,1,6.0
708,17,Arrival,2,85.0
709,17,Arrival,2,-6.0
710,17,Arrival,1,13.0
711,17,Arrival,1,-20.0
712,17,Arrival,1,-10.0
713,17,Arrival,1,13.0
714,17,Arrival,2,-10.0
715,17,Arrival,2,-5.0
716,17,Arrival,1,1.0
717,17,Arrival,1,-9.0
718,17,Arrival,2,-18.0
719,17,Arrival,1,-15.0
720,17,Arrival,1,8.0
721,17,Arrival,1,98.0
722,17,Arrival,1,-5.0
723,17,Arrival,1,126.0
724,17,Arrival,1,19.0
725,18,Arrival,2,-16.0
726,18,Arrival,1,17.0
727,18,Arrival,1,-3.0
728,18,Arrival,1,4.0
729,18,Arrival,2,16.0
730,18,Arrival,1,8.0
731,18,Arrival,2,-7.0
732,18,Arrival,2,-13.0
733,18,Arrival,2,-29.0
734,18,Arrival,2,-7.0
735,18,Arrival,2,11.0
736,18,Arrival,1,8.0
737,18,Arrival,1,-10.0
738,18,Arrival,2,-27.0
739,18,Arrival,1,52.0
740,18,Arrival,1,-4.0
741,18,Arrival,1,26.0
742,18,Arrival,1,-19.0
743,18,Arrival,1,-9.0
744,18,Arrival,2,29.0
745,18,Arrival,1,-3.0
746,18,Arrival,2,-17.0
747,18,Arrival,1,-1.0
748,18,Arrival,2,-8.0
749,18,Arrival,2,11.0
750,18,Arrival,1,-1.0
751,18,Arrival,1,-1.0
752,18,Arrival,1,-6.0
753,18,Arrival,1,49.0
754,19,Arrival,1,-14.0
755,19,Arrival,1,-6.0
756,19,Arrival,2,-26.0
757,19,Arrival,2,-26.0
758,19,Arrival,1,7.0
759,19,Arrival,1,-8.0
760,19,Arrival,2,-11.0
761,19,Arrival,1,22.0
762,19,Arrival,1,-10.0
763,19,Arrival,2,13.0
764,19,Arrival,1,-11.0
765,19,Arrival,2,162.0
766,19,Arrival,1,63.0
767,19,Arrival,1,-3.0
768,19,Arrival,1,139.0
769,19,Arrival,1,-6.0
770,19,Arrival,1,3.0
771,19,Arrival,2,-12.0
772,19,Arrival,1,-9.0
773,19,Arrival,1,-6.0
774,19,Arrival,1,-1.0
775,19,Arrival,1,34.0
776,19,Arrival,1,-9.0
777,19,Arrival,1,-9.0
778,19,Arrival,1,-7.0
779,19,Arrival,1,18.0
780,19,Arrival,1,-10.0
781,19,Arrival,2,22.0
782,19,Arrival,2,41.0
783,20,Arrival,1,23.0
784,20,Arrival,2,-10.0
785,20,Arrival,1,29.0
786,20,Arrival,2,-23.0
787,20,Arrival,1,-3.0
788,20,Arrival,2,-15.0
789,20,Arrival,1,-10.0
790,20,Arrival,1,9.0
791,20,Arrival,1,23.0
792,20,Arrival,1,-22.0
793,20,Arrival,1,4.0
794,20,Arrival,1,-12.0
795,20,Arrival,1,25.0
796,20,Arrival,1,-2.0
797,20,Arrival,2,-19.0
798,20,Arrival,2,-5.0
799,20,Arrival,1,1.0
800,20,Arrival,2,13.0
801,20,Arrival,1,-14.0
802,20,Arrival,2,-11.0
803,20,Arrival,2,45.0
804,20,Arrival,1,38.0
805,20,Arrival,1,-11.0
806,21,Arrival,1,29.0
807,21,Arrival,1,-18.0
808,21,Arrival,1,0.0
809,21,Arrival,2,-17.0
810,21,Arrival,2,37.0
811,21,Arrival,1,9.0
812,21,Arrival,1,-16.0
813,21,Arrival,1,-14.0
814,21,Arrival,1,30.0
815,21,Arrival,1,4.0
816,21,Arrival,2,-9.0
817,21,Arrival,2,-26.0
818,21,Arrival,2,-12.0
819,21,Arrival,1,1.0
820,21,Arrival,2,9.0
821,21,Arrival,1,-1.0
822,21,Arrival,1,-10.0
823,21,Arrival,1,16.0
824,21,Arrival,1,1.0
825,22,Arrival,1,-17.0
826,22,Arrival,1,-22.0
827,22,Arrival,1,-5.0
828,22,Arrival,1,-17.0
829,22,Arrival,2,-7.0
830,22,Arrival,1,-16.0
831,22,Arrival,2,-6.0
832,22,Arrival,2,5.0
833,22,Arrival,2,-5.0
834,22,Arrival,1,-16.0
835,22,Arrival,1,-22.0
836,22,Arrival,1,10.0
837,22,Arrival,1,-18.0
838,22,Arrival,1,-20.0
839,22,Arrival,1,12.0
840,22,Arrival,1,-1.0
841,22,Arrival,2,4.0
842,22,Arrival,2,-22.0
843,22,Arrival,1,-3.0
844,22,Arrival,2,2.0
845,22,Arrival,1,7.0
846,23,Arrival,1,-2.0
847,23,Arrival,1,9.0
848,23,Arrival,2,-23.0
849,23,Arrival,2,23.0
850,23,Arrival,1,5.0
851,23,Arrival,1,26.0
852,23,Arrival,2,44.0
853,23,Arrival,1,-11.0
854,23,Arrival,2,14.0
855,23,Arrival,1,3.0
856,23,Arrival,1,26.0
857,23,Arrival,2,-11.0
858,23,Arrival,2,6.0
859,23,Arrival,1,5.0
860,23,Arrival,1,-5.0
861,23,Arrival,1,9.0
862,23,Arrival,2,22.0
863,23,Arrival,2,-8.0
864,23,Arrival,2,23.0
865,23,Arrival,1,4.0
866,23,Arrival,1,24.0
867,23,Arrival,2,3.0
868,23,Arrival,1,-1.0
869,23,Arrival,1,18.0
870,23,Arrival,1,-7.0
871,23,Arrival,1,35.0
872,23,Arrival,1,-8.0
873,23,Arrival,1,11.0
874,23,Arrival,2,18.0
875,23,Arrival,1,26.0
876,1,Departure,1,-1.0
877,6,Departure,1,-10.0
878,6,Departure,1,23.0
879,6,Departure,1,-1.0
880,6,Departure,1,-2.0
881,6,Departure,1,19.0
882,6,Departure,2,-3.0
883,6,Departure,2,-3.0
884,6,Departure,1,-5.0
885,6,Departure,1,2.0
886,6,Departure,2,43.0
887,6,Departure,2,0.0
888,6,Departure,2,4.0
889,6,Departure,1,-1.0
890,6,Departure,2,13.0
891,6,Departure,1,-4.0
892,6,Departure,1,3.0
893,6,Departure,2,4.0
894,6,Departure,1,-12.0
895,6,Departure,1,-6.0
896,6,Departure,1,-3.0
897,6,Departure,1,4.0
898,6,Departure,2,-3.0
899,6,Departure,1,5.0
900,6,Departure,1,18.0
901,7,Departure,1,0.0
902,7,Departure,1,-4.0
903,7,Departure,1,1.0
904,7,Departure,1,33.0
905,7,Departure,1,-4.0
906,7,Departure,1,0.0
907,7,Departure,1,70.0
908,7,Departure,1,4.0
909,7,Departure,1,5.0
910,7,Departure,1,-6.0
911,7,Departure,1,1.0
912,7,Departure,1,57.0
913,7,Departure,1,3.0
914,7,Departure,1,-10.0
915,7,Departure,2,7.0
916,7,Departure,2,41.0
917,7,Departure,1,-13.0
918,7,Departure,2,50.0
919,7,Departure,2,-2.0
920,7,Departure,1,-1.0
921,7,Departure,1,4.0
922,7,Departure,2,4.0
923,7,Departure,1,22.0
924,7,Departure,2,14.0
925,7,Departure,1,-8.0
926,7,Departure,1,-4.0
927,7,Departure,2,13.0
928,7,Departure,1,2.0
929,7,Departure,1,12.0
930,8,Departure,2,6.0
931,8,Departure,1,-2.0
932,8,Departure,1,57.0
933,8,Departure,1,1.0
934,8,Departure,2,-2.0
